caso_id,risk_bucket,risk_score,top_contribuyentes,ciudad,vertical,valor_orden_mxn,compensacion_solicitada_mxn,num_compensaciones_90d,monto_compensado_90d_mxn,entrega_confirmada_gps,tiempo_entrega_real_min,flags_fraude_previos,motivo_reclamo,descripcion_reclamo,etiqueta_manual,notas_revisor
COMP-0057,AMBIGUO,0.33,sin flags de fraude; cuenta nueva; pocas compensaciones en 90d,Buenos Aires,Comida,140.74,111.12,3,604.45,Parcial,66,0,Producto en mal estado,La carne tenía un color extraño y no se veía fresca.,,
COMP-0064,AMBIGUO,0.38,cuenta nueva; monto compensado bajo; pocas compensaciones en 90d,Tijuana,Mercado,382.89,221.37,3,282.84,Señal perdida,67,1,Cobro incorrecto,El monto cobrado no corresponde a lo que aparece en mi resumen.,,
COMP-0131,AMBIGUO,0.41,sin flags de fraude; cuenta nueva; entrega atípicamente rápida,Querétaro,Mercado,325.07,280.25,5,446.29,Parcial,51,0,Orden cancelada sin reembolso,El restaurante canceló pero el cargo sigue en mi tarjeta.,,
COMP-0091,AMBIGUO,0.42,flags de fraude previos; tiempo de entrega normal/alto; cuenta nueva,Buenos Aires,Comida,379.98,319.47,3,556.98,NO confirmada,71,2,Orden no llegó,"Esperé 90 minutos y la orden nunca llegó, el repartidor no contestó.",,
COMP-0056,AMBIGUO,0.44,muchas compensaciones en 90d; cuenta nueva; monto compensado bajo,CDMX,Farmacia,317.26,256.89,6,276.19,NO confirmada,65,1,Orden cancelada sin reembolso,Cancelaron mi orden por falta de repartidor y no me reembolsaron.,,
COMP-0143,AMBIGUO,0.46,muchas compensaciones en 90d; cuenta nueva; monto compensado acumulado alto,Guadalajara,Comida,407.55,351.51,5,786.55,SÍ - confirmada,59,1,Producto incorrecto,El refresco que llegó no es el que pedí.,,
COMP-0059,AMBIGUO,0.49,entrega atípicamente rápida; flags de fraude previos; pocas compensaciones en 90d,CDMX,Mercado,126.75,86.39,2,645.7,SÍ - confirmada,40,2,Producto incompleto,Faltaron 2 tacos de los 5 que pedí.,,
COMP-0106,AMBIGUO,0.52,cuenta nueva; entrega atípicamente rápida; monto compensado acumulado alto,Guadalajara,Comida,201.49,137.06,4,840.68,SÍ - confirmada,45,1,Producto en mal estado,La carne tenía un color extraño y no se veía fresca.,,
COMP-0055,AMBIGUO,0.55,flags de fraude previos; cuenta nueva; entrega atípicamente rápida,Santiago,Farmacia,303.57,218.47,5,552.55,SÍ - confirmada,51,2,Producto en mal estado,La carne tenía un color extraño y no se veía fresca.,,
COMP-0099,AMBIGUO,0.68,entrega atípicamente rápida; cuenta nueva; flags de fraude previos,Monterrey,Farmacia,236.8,227.25,6,1105.59,SÍ - confirmada,34,2,Cobro incorrecto,El monto cobrado no corresponde a lo que aparece en mi resumen.,,
COMP-0111,FRAUDE,0.74,monto compensado acumulado alto; entrega atípicamente rápida; cuenta nueva,Córdoba,Comida,149.21,135.88,6,1706.97,SÍ - confirmada,32,2,Orden llegó tarde,"Me tardé 1.5 horas más de lo estimado, la comida ya no servía.",,
COMP-0145,FRAUDE,0.8,muchas compensaciones en 90d; monto compensado acumulado alto; entrega atípicamente rápida,Medellín,Farmacia,106.35,98.86,9,1791.53,SÍ - confirmada,36,2,Producto en mal estado,La carne tenía un color extraño y no se veía fresca.,,
COMP-0095,FRAUDE,0.81,flags de fraude previos; entrega atípicamente rápida; muchas compensaciones en 90d,Córdoba,Comida,167.47,155.43,7,1011.19,SÍ - confirmada,33,4,Producto incorrecto,"Llegó comida diferente, creo que confundieron mi pedido.",,
COMP-0084,FRAUDE,0.83,monto compensado acumulado alto; flags de fraude previos; cuenta nueva,Guadalajara,Comida,194.07,185.67,5,2473.05,SÍ - confirmada,39,3,Producto incorrecto,El refresco que llegó no es el que pedí.,,
COMP-0148,FRAUDE,0.86,muchas compensaciones en 90d; entrega atípicamente rápida; cuenta nueva,Bogotá,Comida,191.85,182.75,14,1163.06,SÍ - confirmada,33,2,Producto incorrecto,Me mandaron una hamburguesa con queso y tengo alergia al lácteo.,,
